hierarchylevel,community_unit_uid,community_code,community_unit,link_facility_name,link_facility_uid,link_facility_code,ward,ward_code,subcounty,subcounty_code,county,county_code,country
6,reTjPA3jQ0C,702624,Tendwo Community Health Unit,Uhuru Dispensary,tiYkFi2qKxp,15759,Kaptagat Ward,KE_Ward_720,Ainabkoi Sub County,KE_SubCounty_3229,Uasin Gishu County,KE_County_27,Kenya
6,VoIsQfuN4I0,600841,Kipkabus Community Health Unit,Kipkabus Health Centre,RyQUcptH76k,14893,Ainabkoi/Olare Ward,KE_Ward_721,Ainabkoi Sub County,KE_SubCounty_3229,Uasin Gishu County,KE_County_27,Kenya
6,LqJNRuOtjl1,702620,Cheboin Community Health Unit,Cheboin Dispensary,LiIgcPkUwTB,20060,Kapsoya Ward,KE_Ward_719,Ainabkoi Sub County,KE_SubCounty_3229,Uasin Gishu County,KE_County_27,Kenya
6,WDOfj0XbTxM,702606,Plateau Community Health Unit,Plateau Hospital,RpW4L3sZsvi,15464,Kaptagat Ward,KE_Ward_720,Ainabkoi Sub County,KE_SubCounty_3229,Uasin Gishu County,KE_County_27,Kenya
6,IHxCa1vUYz8,600835,Drys Community Health Unit,Dry's Dispensary,y4j4F4aVAy2,17063,Ainabkoi/Olare Ward,KE_Ward_721,Ainabkoi Sub County,KE_SubCounty_3229,Uasin Gishu County,KE_County_27,Kenya
6,MSpYeaiaxwT,600842,Lotonyok Community Health Unit,Ngelel Tarit Dispensary,zJh1VaiwSDZ,17829,Kaptagat Ward,KE_Ward_720,Ainabkoi Sub County,KE_SubCounty_3229,Uasin Gishu County,KE_County_27,Kenya
6,hXmjIA7ylyv,600848,Uhuru Community Health Unit,Uhuru Dispensary,tiYkFi2qKxp,15759,Kaptagat Ward,KE_Ward_720,Ainabkoi Sub County,KE_SubCounty_3229,Uasin Gishu County,KE_County_27,Kenya
6,cYyG7f0xDPE,702623,Naiberi Community Health Unit,Ngelel Tarit Dispensary,zJh1VaiwSDZ,17829,Kaptagat Ward,KE_Ward_720,Ainabkoi Sub County,KE_SubCounty_3229,Uasin Gishu County,KE_County_27,Kenya
6,TRtqNa350eN,702662,Tingwa Community Health Unit,Tingwa Dispensary,N1s8GsnLbt2,14570,Ainabkoi/Olare Ward,KE_Ward_721,Ainabkoi Sub County,KE_SubCounty_3229,Uasin Gishu County,KE_County_27,Kenya
6,Mm8djYnXquT,702621,Kipkorgot Community Health Unit,Cheboin Dispensary,LiIgcPkUwTB,20060,Kapsoya Ward,KE_Ward_719,Ainabkoi Sub County,KE_SubCounty_3229,Uasin Gishu County,KE_County_27,Kenya
6,W99WFqCTTHW,600833,Chepngoror Community Health Unit,Chepngoror Dispensary,We7muGGOPWT,14355,Ainabkoi/Olare Ward,KE_Ward_721,Ainabkoi Sub County,KE_SubCounty_3229,Uasin Gishu County,KE_County_27,Kenya
