organisationunitid,uid,mflcode,facility,level,ward_uid,ward,subcounty_uid,subcounty,county_uid,county
91165980,zbC0gjFB02E,31751,Kakenya Health and Wellness Centre,5,mq1FEx5vQZ4,Keyian Ward,Nb6e34jNGAq,Transmara West Sub County,kqJ83J2D72s,Narok County
91197345,f9SU1mmkwz2,31993,Ngambo Health Care,5,bVD6U8Bf6As,Marigat Ward,dSLnPmNlm8Q,Marigat Sub County,vvOK1BxTbet,Baringo County
49910,k9yqhyTOmKm,11951,Boji Dispensary,5,PoEBay5v6Vh,Garba Tulla Ward,ecl4YnDebUi,Garbatulla Sub County,bzOfj0iwfDH,Isiolo County
49919,Y1f78y00pe7,16476,Muchuro Dispensary,5,PoEBay5v6Vh,Garba Tulla Ward,ecl4YnDebUi,Garbatulla Sub County,bzOfj0iwfDH,Isiolo County
34514,WMjR7Dtk7aj,10686,Maragua Sub County Hospital,5,JqeBiHQ9lNI,Nginda Ward,l46g2PZUjoh,Muranga South Sub County,ahwTMNAJvrL,Muranga County
85017938,fXs7gfFel1A,27176,Yaqbarsadi Dispensary,5,um7zkcazal1,Kinna Ward,ecl4YnDebUi,Garbatulla Sub County,bzOfj0iwfDH,Isiolo County
91252765,suaWbl6GlOJ,31995,Equity Afia Medical Centre (Garissa),5,OsuzTNGeh3u,Township Ward,lQkHbTC1iRg,Garissa Sub County,uyOrcHZBpW0,Garissa County
76157626,ptcFykCHMGE,25447,Shasyt Annex Health Care Clinic,5,YpEIAl1lcFe,Keekonyokie Ward,gZM3NbHaugk,Narok East Sub County,kqJ83J2D72s,Narok County
91266200,WoYsDJotvYG,31996,Nyamira Teaching & Referral Hospital Private Wing,5,tjmkRVSEHwx,Township Ward,cxjRPbvhjzr,Nyamira Sub County,uepLTG8wGWJ,Nyamira County
89198411,HjqFCQBHBGt,26951,Bliss Healthcare LTD-Busia,5,Yk6G4ret1OC,Burumba Ward,tvkI2HSIRW9,Matayos Sub County,Tvf1zgVZ0K4,Busia County
91197372,nmRW218uMbK,31994,Mbechot Dispensary,5,RUfWwfXjF1B,Mochongoi Ward,dSLnPmNlm8Q,Marigat Sub County,vvOK1BxTbet,Baringo County
6222885,iaXccnqMkxs,20829,Duse Dispensary,5,um7zkcazal1,Kinna Ward,ecl4YnDebUi,Garbatulla Sub County,bzOfj0iwfDH,Isiolo County
32192,sgKiVsxPcyB,13680,Keumbu Sub County Hospital,5,fsE425Pq6Bo,Keumbu Ward,fFh3beH29fD,Nyaribari Chache Sub County,sPkRcDvhGWA,Kisii County
22736,xTHNPMfTDIg,16709,Jaggery Medical Clinic,5,frzFOocEhiu,Mihuu Ward,f4AOiG8fYtn,Webuye East Sub County,KGHhQ5GLd4k,Bungoma County
85018164,QQxogMHyNJo,27178,Kombola Dispensary,5,PoEBay5v6Vh,Garba Tulla Ward,ecl4YnDebUi,Garbatulla Sub County,bzOfj0iwfDH,Isiolo County
91293085,oEMlLLFSkyU,31999,Garissa Level 3 Hospital (Modika),5,moyjoMLymNA,Waberi Ward,lQkHbTC1iRg,Garissa Sub County,uyOrcHZBpW0,Garissa County
60752578,ZopyzIY1OWy,23825,Bethany Hill Crest Hospital,5,gzHtPrtr6nU,Olposimoru Ward,fNROL0qm8De,Narok North Sub County,kqJ83J2D72s,Narok County
91324386,Ig8eigYAvqE,32000,Prime Revive Medical clinic(Matungulu),5,OMFDcpMhxBr,Matungulu West Ward,GnixPSqaV6D,Matungulu Sub County,yhCUgGcCcOo,Machakos County
86910274,kkgUWfry7gA,28391,Lochorelim Container Dispensary,5,z3pqrBr5TyV,Kotaruk/Lobei Ward,OZiGQn2R8kK,Loima Sub County,kphDeKClFch,Turkana County
44346,XHsyXao4wLi,,King James Medical Clinic,5,WwMThzLSS3I,Kalobeyei Ward,HK5SUCMQmsw,Turkana West Sub County,kphDeKClFch,Turkana County
91344940,eeylVltHlN2,32001,Vejos Labaratory (Matungulu),5,OMFDcpMhxBr,Matungulu West Ward,GnixPSqaV6D,Matungulu Sub County,yhCUgGcCcOo,Machakos County
91345361,Q1dfV6sxlPq,32002,Ase Dorothea Mission Health Centre (Matungulu),5,OMFDcpMhxBr,Matungulu West Ward,GnixPSqaV6D,Matungulu Sub County,yhCUgGcCcOo,Machakos County
87365526,Q9yYo2YKbn7,28859,Golgoltim Dispensary,5,WieLheAfLdw,Wamba East Ward,ldZ10N9unC9,Samburu East Sub County,o36zCRjSd4G,Samburu County
9730759,CsSNsJ8Nzue,20747,Marte Elepareu Dispensary,5,p2OJcxIoP6e,Wamba North Ward,ldZ10N9unC9,Samburu East Sub County,o36zCRjSd4G,Samburu County
91397875,Hnj1bkmmDRc,31593,Brivan Hospital,5,GqsqQj9CDst,Ng'araria Ward,gwYTo0wITYX,Kandara Sub County,ahwTMNAJvrL,Muranga County
91408951,bO2awz8A4LL,31775,Imela Afya Medical Clinic,5,NGRN2o3qN2r,Macalder/Kanyarwanda Ward,D2lsuEzZAJP,Nyatike Sub County,fVra3Pwta0Q,Migori County
24768,Jxn8BxSIB9W,11837,Tarasaa Catholic Dispensary,5,dckG5TO7hf8,Garsen South Ward,Lj0mu9j58Ss,Garsen Sub County,JsH2bnvNt2d,Tana River County
24767,kLHqWoOO89D,16198,Shirikisho Methodist Dispensary,5,dckG5TO7hf8,Garsen South Ward,Lj0mu9j58Ss,Garsen Sub County,JsH2bnvNt2d,Tana River County
9240389,JS2VGtZFlyQ,17858,Sirikwa Health Centre,5,aGRpaeG5ziX,Sirikwa Ward,QBwORnYdu0e,Kuresoi North Sub County,ob6SxuRcqU4,Nakuru County
89201734,qs28CzAHip7,30526,Kaptien Dispensary(Kiminini),5,FXjBryC2ysZ,Sirende Ward,pzZHpL2ueIn,Kiminini Sub County,mThvosEflAU,Trans Nzoia County
87099563,UpaNvtGWEZi,28609,Mukuyuni Health Centre,5,ky9RthnIKqS,Milima Ward,orUwYD52An3,Tongaren Sub County,KGHhQ5GLd4k,Bungoma County
62132,INSq5Fh6r5M,17986,Sango Natiri Health Centre,5,AwkuNWBAvnV,Naitiri/Kabuyefwe Ward,orUwYD52An3,Tongaren Sub County,KGHhQ5GLd4k,Bungoma County
91440481,viuLLFUBXvv,32005,Entinki Dispensary,5,hfUlTD9PANt,Melili Ward,zGJ7QQlAMYD,Narok Central Sub County,kqJ83J2D72s,Narok County
10427226,VbdY9P1Y22W,21372,Kaemeyan Dispensary (Lokichoggio),5,be0Y1B0phrY,Letea Ward,HK5SUCMQmsw,Turkana West Sub County,kphDeKClFch,Turkana County
91345409,M3eoO8XV5Sr,32003,Dawafront Health Care Services-Lolwe,5,oz6zXuKWiR9,Migosi Ward,OpLt8IgyHop,Kisumu Central Sub County,tAbBVBbueqD,Kisumu County
87378406,RCIre3D27gT,28853,Lengarde Dispensary,5,WieLheAfLdw,Wamba East Ward,ldZ10N9unC9,Samburu East Sub County,o36zCRjSd4G,Samburu County
86758708,IRNiJIKDe2c,28235,Sarara Foundation Nomadic medical Clinic,5,WieLheAfLdw,Wamba East Ward,ldZ10N9unC9,Samburu East Sub County,o36zCRjSd4G,Samburu County
73198241,fagJQVacCIQ,20744,Lmarmaroi Dispensary,5,p2OJcxIoP6e,Wamba North Ward,ldZ10N9unC9,Samburu East Sub County,o36zCRjSd4G,Samburu County
44738,Waoec9qt8ol,15927,Karima Health Centre,5,dqhHnPkEqDH,Mbakalo Ward,orUwYD52An3,Tongaren Sub County,KGHhQ5GLd4k,Bungoma County
89203036,RWaKZ14yZ6N,30597,Muchagara Dispensary,5,jlthZ0Rz41H,Karumandi Ward,yOaHQLOLd1H,Kirinyaga East Sub County,Ulj33KBau7V,Kirinyaga County
51881548,FqkudDNolS5,23345,Lengusaka Dispensary,5,WieLheAfLdw,Wamba East Ward,ldZ10N9unC9,Samburu East Sub County,o36zCRjSd4G,Samburu County
91441183,aDN9luMjP4c,31777,Sinoko Dispensary (Cherangany),5,XXbVgPo8AY8,Motosiet Ward,f18kGo9yXWo,Cherangany Sub County,mThvosEflAU,Trans Nzoia County
87996865,bgKnwQiqPoQ,29482,Health Option For Young Men,5,RZsWJRZ4mIG,Ongata Rongai Ward,BLz1HkvvMkA,Kajiado North Sub County,Hsk1YV8kHkT,Kajiado County
62134,ELjpUSFjC7d,17990,Sirakaru Dispensary,5,AwkuNWBAvnV,Naitiri/Kabuyefwe Ward,orUwYD52An3,Tongaren Sub County,KGHhQ5GLd4k,Bungoma County
44748,OochC7lpTbO,15992,Makutano Health Centre,5,pc8868uNy8r,Soysambu/Mitua Ward,orUwYD52An3,Tongaren Sub County,KGHhQ5GLd4k,Bungoma County
43791,YrSCTgWBywP,16689,Narolong Dispensary (Trans Mara West),5,mq1FEx5vQZ4,Keyian Ward,Nb6e34jNGAq,Transmara West Sub County,kqJ83J2D72s,Narok County
89203564,pZqZLNbXD8k,30598,Angellife Medical Clinic,5,BSHD4ORT4xu,Kiine Ward,A34NiI4rgnf,Kirinyaga West Sub County,Ulj33KBau7V,Kirinyaga County
44203,TCBGWHUlgR2,15028,Lerrata Health Centre,5,WieLheAfLdw,Wamba East Ward,ldZ10N9unC9,Samburu East Sub County,o36zCRjSd4G,Samburu County
89204769,XKMuNIEWpsa,30599,Lumola Medical Clinic,5,Fh0N1GDepVx,Mayenje Ward,tvkI2HSIRW9,Matayos Sub County,Tvf1zgVZ0K4,Busia County
10102034,WNNdbdr9Lgq,21406,Lukhokhwe Dispensary,5,ky9RthnIKqS,Milima Ward,orUwYD52An3,Tongaren Sub County,KGHhQ5GLd4k,Bungoma County
88022768,yPwpZBaxX79,29523,Kibartare Dispensary,5,p2OJcxIoP6e,Wamba North Ward,ldZ10N9unC9,Samburu East Sub County,o36zCRjSd4G,Samburu County
50012537,iNOmBCxZA8o,22520,Makololwe Dispensary,5,Epj7vWxFyG0,Tongaren Ward,orUwYD52An3,Tongaren Sub County,KGHhQ5GLd4k,Bungoma County
91235413,yHApwYFNk60,31931,Equity AFIA Limited -Iten Medical Centre,5,q3dexsgOLhS,Tambach Ward,rlWH0Ac9vjc,Keiyo North Sub County,MqnLxQBigG0,Elgeyo Marakwet County
91491342,iwmV8xk167j,32007,Al-Manaar Medical Centre Limited,5,DR0BSs3eYeC,Pangani Ward,nKHlZyN0lt9,Starehe Sub County,jkG3zaihdSs,Nairobi County
91516863,VwwOTm1lXS4,32011,Emis Dispensary,5,k3OQIur2Wia,Soy North Ward,SOEG546PqbA,Keiyo South Sub County,MqnLxQBigG0,Elgeyo Marakwet County
91517207,o4R31bP4OSL,32015,Gatundu Merironi Dispensary,5,mxshI67tMFJ,Murindati Ward,hBU8B1KI12P,Gilgil Sub County,ob6SxuRcqU4,Nakuru County
3629905,FpRo1CGZrMi,20322,Tabani Dispensary,5,ZoZCpnAFcGo,Ndalu Ward,orUwYD52An3,Tongaren Sub County,KGHhQ5GLd4k,Bungoma County
89204774,P1UT1G9ZHFO,30601,Esikoma Community Hospital,5,vURFh88SwIe,Marachi Central Ward,RIBiZFJxB1K,Butula Sub County,Tvf1zgVZ0K4,Busia County
91522227,nkziYtqbNRd,32016,AAR Healthcare(K)LTD-United Mall-Kisumu,5,UqLylL8NY0G,Shauri Moyo Kaloleni Ward,OpLt8IgyHop,Kisumu Central Sub County,tAbBVBbueqD,Kisumu County
379159,VuPVJkTWe03,19946,Ndonyo Nasipa Dispensary,5,p2OJcxIoP6e,Wamba North Ward,ldZ10N9unC9,Samburu East Sub County,o36zCRjSd4G,Samburu County
44207,reEfM1oUmeW,15444,Oromodei Dispensary,5,p2OJcxIoP6e,Wamba North Ward,ldZ10N9unC9,Samburu East Sub County,o36zCRjSd4G,Samburu County
2346776,qG3Jezgirry,20186,Sango Kabuyefwe Dispensary,5,AwkuNWBAvnV,Naitiri/Kabuyefwe Ward,orUwYD52An3,Tongaren Sub County,KGHhQ5GLd4k,Bungoma County
89204775,iOij9JVj1rP,30602,Esikoma Community Hospital,5,vURFh88SwIe,Marachi Central Ward,RIBiZFJxB1K,Butula Sub County,Tvf1zgVZ0K4,Busia County
38277,FSTPtSgOYPN,15250,Mulemi Hospital.,5,quIiSx3L8OJ,Viwandani Ward,yZJJPoSGhY6,Naivasha Sub County,ob6SxuRcqU4,Nakuru County
87564817,tclIrftPxSr,29104,Maiella Golden Care Medical Center,5,fRDUt04TIg5,Maeilla Ward,yZJJPoSGhY6,Naivasha Sub County,ob6SxuRcqU4,Nakuru County
87426405,Ou007iDxjfu,28909,Raon Medical Clinic And Pharmacy,5,PUv9Q5hrTYP,Mosop Ward,OK0hW8DFHq3,Rongai Sub County,ob6SxuRcqU4,Nakuru County
39344093,U5Ydf9GmhUe,23444,BEL-BUR DISPENSARY,5,TaCopZQ4jLn,Njoro Ward,gSJXzH1DM75,Njoro Sub County,ob6SxuRcqU4,Nakuru County
91564258,Fk81NzET8VH,32018,CHIEKO MEDICAL CENTRE,5,KoIp1GKz0UI,Mwiki Ward,TPRNJqSm4lK,Ruiru Sub County,qKzosKQPl6G,Kiambu County
91517014,LEtCKnI6TfB,32013,Presbyterian University Medical Clinic (Kikuyu),5,cbYznphRVBi,Kikuyu Ward,jOVcLeZQSsS,Kikuyu Sub County,qKzosKQPl6G,Kiambu County
24042,iOrFEBbdgPP,11642,Mokowe Health Centre,5,yCylsEe6jSZ,Hindi Ward,nfJoTgKpwCg,Lamu Central Sub County,NjWSbQTwys4,Lamu County
91571272,S5qns3KvEsX,32012,EQUITY AFIA MEDICAL CENTRE (BOMET),5,tM4Bmyj48cN,Silibwet Township Ward,m9gdonbVXjZ,Bomet Central Sub County,HMNARUV2CW4,Bomet County
23301,r8x9znndcXD,16281,Getiesi Health Centre,5,odXKgaPu8B0,Bogichora Ward,cxjRPbvhjzr,Nyamira Sub County,uepLTG8wGWJ,Nyamira County
23311,wVKkAhozU17,16280,Kenyerere Health Centre (Nyamira),5,d7n8GfG2cFO,Bonyamatuta Ward,cxjRPbvhjzr,Nyamira Sub County,uepLTG8wGWJ,Nyamira County
27827350,PIjx4CckYlp,,Kiria Medical Clinic,5,EVc3FnW4kcm,Mugoiri Ward,s2jeo1C9aM8,Kahuro Sub County,ahwTMNAJvrL,Muranga County
52712,Sb0xwuOdMx1,18816,Annointed Medical Clinic,5,V3ZV8jsqN0Z,Lusheya/Lubinu Ward,FBteTV1eqB6,Mumias East Sub County,BjC1xL40gHo,Kakamega County
91596572,V9yBEMjapp1,32019,Nyadado Dispensary,5,BRDtIETwfeW,East Seme Ward,LRNmnMw1fBs,Seme Sub County,tAbBVBbueqD,Kisumu County
91596598,BibszhpL7Db,32020,Maasai Flowers Clinic,5,L6v0cndEtYB,Kitengela Ward,g6gTzQ5nfYq,Kajiado East Sub County,Hsk1YV8kHkT,Kajiado County
91584715,XsAy3XR8xQH,32006,Ewaso Ngiro Medicare Centre,5,MAdyJPs0RUr,Narok Town Ward,zGJ7QQlAMYD,Narok Central Sub County,kqJ83J2D72s,Narok County
91599228,UfONvvCGYHX,32010,Muthami Family Hospital,5,ERl76hzXrr7,Kabete Ward,lb5LzWiUX8Y,Kabete Sub County,qKzosKQPl6G,Kiambu County
91630462,AjWGGuEcxN6,32021,Ryattah Medical Center (Loitoktok),5,aLPl4YD1hzh,Kuku Ward,eyADpAXM834,Loitokitok Sub County,Hsk1YV8kHkT,Kajiado County
23737,vCIs8c3Q975,16192,Kambe Dispensary,5,rJRyj2PndJ3,Kambe/Ribe Ward,hJf4rt7cvI6,Rabai Sub County,nrI2khZx3d0,Kilifi County
